Type;Action;View;Record_name;Value;Alias Target/MX preferance;New_Record;New Value
TXT;Delete;common;_dmarc.gaconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.geleceknesilogrenme.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.georgiaconnectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.georgiaconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.globalenglishblog.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.greatlakescharteracademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.greatlakesconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.greatlakesconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.greatlakescyberacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.greatlakescyberacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.greatlakescyberacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.greatlakescyberschool.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.greatriverconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.greatriverconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.hawaiiconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.hebrewlearningonline.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.hebrewonlinelearning.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.hebrewonlinelearning.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.hebrewvip.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.hebrewvip.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.hebrewvs.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.hebrewvs.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.hpm-elearning.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.idahoconnectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.idahoconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.illinoisconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.inconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.indianaconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.internationalconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.iso-30.info;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.jacksonholeconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.jacksonholeconnectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.jacksonholeconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.javaalmanac.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.kansasconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.kansasconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.kentuckyconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.kto8b.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lccicyprus.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.learningonline.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.libertyeducationpartners.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lighthouseconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lighthouseconnectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lighthouseconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lingoverse.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.livelesson.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.livelessonconnect.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.livelessons.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.livespeechconnect.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.longmanlearning.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.longmanlearningbeijing.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.longmantaiwan.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.louisianaconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.louisianaconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lovelearningagain.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lovelearningagain.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lovelearningagain.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lowcountryconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lowcountryconnectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lowcountryconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lumerit.info;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lumerit.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lumerit.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lumeriteducation.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lumeriteducation.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lumeritscholar.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lumeritscholar.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.lumeritscholar.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.mandc-dev.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.mandc-test.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.marylandconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.masteringmicrobiology.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.mathfax.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.mathxl.biz;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.michiganconnectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.michiganconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.michiganonline.academy;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.michiganupliftacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.milburnhighschool.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.military2pm.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.mindhubpro.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.minnesotaconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.misdvirtualschool.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.misdvirtualschool.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.mississippiconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.mississippiconnectionsacademy.net;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.mississippiconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.missouriconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.missouriconnectionsacademy.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.mobileclassroom.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.montanaconnectionsacademy.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.movipk5.com;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.movipk5.org;"v=DMARC1; p=reject";;;
TXT;Delete;common;_dmarc.myaccountingalb.com;"v=DMARC1; p=reject";;;
